city_cn,city,city_id,province_cn,province,tier,lat,lng,population,city_tier1,city_tier2,city_tier3,city_tier4,city_tier5,distance,local_flow,pagerank,mean_intensity,intensity_2019,intensity_2020,intensity_reduction,date_0123,date_0124,date_0125,date_0126,date_0127,date_0128,date_0129,date_0130,date_0131,date_0201,date_0202,date_0203,date_0204,date_0205,date_0206,date_0207,date_0208,date_0209,date_0210,date_0211,date_0212,date_0213,date_0214,date_0215,date_0216,date_0217,date_0218,date_0219,date_0220,date_0221,date_0222,date_0223,date_0224,date_0225,date_0226,date_0227,date_0228,date_0229,date_0301,date_0302,date_0303,date_0304,date_0305,date_0306,date_0307,date_0308,date_0309,date_0310,date_0311,date_0312,date_0313,date_0314,date_0315,date_0316,date_0317,date_0318,date_0319,date_0320,date_0321,date_0322,date_0323,date_0324,date_0325,date_0326,date_0327,date_0328,date_0329,date_0330,date_0331,date_0401,hubei_city
沧州市,Cangzhou,130900,河北省,Hebei,Tier 3,38.31021514110704,116.84558075595017,754.43,0,0,1,0,0,886.4838121522133,14.286959820000005,0.003192159721062965,5.5783227272727265,363.9415,264.22700000000003,99.71450000000004,1,2,2,2,5,8,12,18,19,19,19,20,20,21,23,28,28,28,32,37,42,45,46,47,47,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,0
廊坊市,Langfang,131000,河北省,Hebei,Tier 2,39.54336666275853,116.69058173342549,492.05,0,1,0,0,0,1015.6986550912036,9.744764616,0.003933272286020077,4.6875363636363625,300.5759,208.8724,91.70350000000002,0,0,0,2,6,9,9,9,11,11,12,12,13,14,15,20,22,24,26,28,29,29,29,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,0
衡水市,Hengshui,131100,河北省,Hebei,Tier 4,37.745191408077424,115.6754061376161,448.6,0,0,0,1,0,802.6375253750682,8.875198187999999,0.002439843931307335,5.326136363636363,354.2232,286.2752000000001,67.94799999999998,0,0,0,0,2,3,4,4,4,4,4,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
太原市,Taiyuan,140100,山西省,Shanxi,Tier 2,37.87698902884778,112.55639149167204,446.19,0,1,0,0,0,823.3680124991832,20.87587566,0.005731612390727153,5.223436363636363,320.2067,229.118,91.08870000000003,1,2,2,2,3,3,3,4,4,6,6,6,9,9,11,12,15,17,18,18,18,18,19,19,19,19,19,19,19,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,0
大同市,Datong,140200,山西省,Shanxi,Tier 4,40.0824687161612,113.30643625858623,346.3,0,0,0,1,0,1056.1654550607268,7.816500648,0.0020943492519859127,5.094581818181818,339.045,289.54389999999995,49.501100000000065,0,1,1,1,1,3,4,5,6,8,9,9,9,9,9,10,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
阳泉市,Yangquan,140300,山西省,Shanxi,Tier 5,37.862360847859385,113.58761666287546,141.75,0,0,0,0,1,808.5101199422473,3.2633915040000008,0.0009426022329814762,5.073031818181816,352.40739999999994,281.95899999999995,70.44839999999998,0,0,1,1,1,1,1,1,1,1,2,2,2,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
长治市,Changzhi,140400,山西省,Shanxi,Tier 4,36.2012683721548,113.12255886984902,347.8,0,0,0,1,0,631.1677638490337,8.560882224,0.0017951122641858106,4.950113636363636,349.6082,272.47800000000007,77.13019999999995,0,1,1,1,1,1,3,3,3,3,3,3,3,5,5,5,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
晋城市,Jincheng,140500,山西省,Shanxi,Tier 5,35.49628458647257,112.85857823132879,235.3,0,0,0,0,1,559.8696383799108,8.694614196000003,0.0012873100406574115,5.4899,363.17,263.04029999999995,100.1297,0,0,0,0,0,0,0,0,2,3,6,7,7,7,8,8,8,8,8,8,8,8,8,9,9,9,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,0
朔州市,Shuozhou,140600,山西省,Shanxi,Tier 5,39.337108370541735,112.4393709396677,178.45,0,0,0,0,1,984.3612907708756,4.555246896,0.0015312498120692536,5.138281818181818,347.5866,292.948,54.6386,0,0,0,2,2,2,3,3,3,3,3,3,4,4,4,4,6,7,7,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
晋中市,Jinzhong,140700,山西省,Shanxi,Tier 4,37.69283940975971,112.75959475565928,338.9484,0,0,0,1,0,799.8191909550258,10.942388172000001,0.002852469983340046,4.667559090909091,335.8215,245.0448,90.7767,0,0,2,2,5,9,9,9,11,13,15,19,21,26,27,30,32,32,33,34,35,35,35,35,36,36,36,36,36,36,36,36,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,0
运城市,Yuncheng,140800,山西省,Shanxi,Tier 4,35.032706912909234,111.01338945447924,537.26,0,0,0,1,0,580.6159432558151,13.336311744000001,0.002588720677185743,5.199527272727273,358.43040000000013,275.9006,82.52980000000008,0,2,2,2,3,4,7,8,10,10,13,16,17,17,17,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
忻州市,Xinzhou,140900,山西省,Shanxi,Tier 4,38.42238338517772,112.74062416023848,317.29,0,0,0,1,0,879.787115527704,4.937845860000001,0.001984309783826706,4.61475909090909,326.14129999999994,261.0607,65.08059999999995,0,0,0,0,0,0,0,0,1,3,3,3,3,3,3,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
临汾市,Linfen,141000,山西省,Shanxi,Tier 4,36.093741895419726,111.52553022403072,450.84,0,0,0,1,0,662.2766057433607,8.780232816000003,0.002403909850836805,5.2415318181818185,364.316,292.552,71.76400000000002,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
吕梁市,Lvliang,141100,山西省,Shanxi,Tier 4,37.524497749577115,111.15044967529184,389.09,0,0,0,1,0,821.668978766304,5.312464703999999,0.002257406585893013,4.952559090909091,351.53519999999986,277.23459999999994,74.30059999999997,0,0,0,1,3,3,4,5,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
呼和浩特市,Hohhot,150100,内蒙古自治区,Neimenggu,Tier 3,40.848422997113474,111.75550856170946,313.7,0,0,1,0,0,1160.3997410442767,7.665527015999997,0.003048452457265808,5.93025,375.2334,278.4158999999999,96.81750000000014,0,0,0,0,0,2,2,2,2,2,4,4,5,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
包头市,Baotou,150200,内蒙古自治区,Neimenggu,Tier 4,40.66292878826139,109.84654350721243,289.7,0,0,0,1,0,1187.2085069028794,4.1277710160000005,0.001975335895502442,6.090327272727274,396.6778,324.6173,72.06049999999998,0,0,0,2,3,3,3,3,3,5,6,6,7,9,9,10,10,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
乌海市,Wuhai,150300,内蒙古自治区,Neimenggu,Tier 5,39.6620063648907,106.80039104999656,56.61,0,0,0,0,1,1215.3722610724851,0.6754881600000001,0.0012014084984694599,5.879477272727272,378.2535,323.76290000000006,54.49059999999997,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,0
赤峰市,Chifeng,150400,内蒙古自治区,Neimenggu,Tier 5,42.261686103411606,118.89552039751949,433.09,0,0,0,0,1,1357.3724011568293,5.572464336,0.002254116056352324,5.675436363636364,367.9099,297.752,70.15789999999998,0,0,1,1,2,2,2,2,2,2,2,2,3,3,4,4,4,4,4,5,5,7,7,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
通辽市,Tongliao,150500,内蒙古自治区,Neimenggu,Tier 5,43.657980083916655,122.25052178737631,313.88,0,0,0,0,1,1610.0204126796314,3.1161383639999998,0.0019121300273876023,5.575559090909088,365.9582,304.0013,61.95690000000002,0,0,0,1,1,1,1,1,1,1,1,1,1,1,2,3,3,6,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
鄂尔多斯市,Ordos,150600,内蒙古自治区,Neimenggu,Tier 4,39.61448231394889,109.78744317923599,208.76,0,0,0,1,0,1081.5534122104054,2.365680816,0.002548265639966284,6.090222727272727,399.2432,331.1748,68.0684,0,0,2,2,2,2,3,3,5,6,9,9,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
呼伦贝尔市,Hulunbuir,150700,内蒙古自治区,Neimenggu,Tier 5,49.21844647556481,119.77237049946636,253.41,0,0,0,0,1,2118.106977317681,2.204723772,0.00138185308675758,5.259586363636363,333.1041,280.1435,52.96060000000006,1,1,2,2,2,2,2,2,2,2,2,3,3,5,5,5,5,5,5,6,6,6,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
巴彦淖尔市,Bayannur,150800,内蒙古自治区,Neimenggu,Tier 5,40.7493594895728,107.39439808372492,169.4,0,0,0,0,1,1287.5947161356478,1.284067404,0.0013583159576280588,6.178881818181816,427.6391,326.2197,101.4194,0,0,0,0,0,1,2,2,3,3,3,3,4,4,4,4,6,6,6,6,6,6,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
乌兰察布市,Ulanqab,150900,内蒙古自治区,Neimenggu,Tier 5,41.00074832767381,113.13946767446328,209.02,0,0,0,0,1,1159.0168044653435,2.03937426,0.001952289829163318,5.708877272727272,405.2907,335.8806,69.4101,0,0,0,0,0,0,0,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
兴安盟,Xinganmeng,152200,内蒙古自治区,Neimenggu,Tier 5,46.088463713218964,122.0443645258252,161.13,0,0,0,0,1,1845.3220853167825,1.20927492,0.00131486833709115,5.691095454545455,375.8168,318.1355000000001,57.68129999999991,0,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
锡林郭勒盟,Xilinguole,152500,内蒙古自治区,Neimenggu,Tier 5,43.93942266533856,116.05439144074572,105.83,0,0,0,0,1,1488.581231754465,0.7528360319999998,0.0010911862161310157,5.460731818181818,377.78909999999985,277.1809,100.60819999999991,0,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,5,6,6,8,8,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,0
阿拉善盟,Alashanmeng,152900,内蒙古自治区,Neimenggu,Tier 5,38.85827588305696,105.73537746449358,24.94,0,0,0,0,1,1205.6640206651746,0.6590824200000002,0.0011323362033277284,5.199295454545455,338.9552,298.4369000000001,40.518299999999954,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
沈阳市,Shenyang,210100,辽宁省,Liaoning,new Tier 1,41.683830069190655,123.47109664482264,832.2,1,0,0,0,0,1478.723198020831,16.981583580000006,0.007575075902085136,5.775472727272727,355.6451,291.46490000000006,64.18019999999996,2,3,5,6,8,8,9,10,13,13,13,15,18,23,23,25,26,26,26,27,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,0
大连市,Dalian,210200,辽宁省,Liaoning,Tier 2,38.918953666785605,121.62163148459284,700.2,0,1,0,0,0,1139.2192269865234,15.065924994000001,0.002561408951279029,5.784359090909091,353.22379999999987,299.9206999999999,53.30309999999997,1,2,4,4,5,5,5,7,8,10,12,12,13,14,14,14,16,16,16,16,16,17,18,18,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,0
鞍山市,Anshan,210300,辽宁省,Liaoning,Tier 3,41.11505359694933,123.00137251399408,358.46,0,0,1,0,0,1404.5907211678625,3.1223572200000005,0.00230388897202945,5.773936363636364,358.1408,319.8458,38.29499999999996,0,0,0,0,0,0,0,0,1,1,1,1,1,1,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,0
抚顺市,Fushun,210400,辽宁省,Liaoning,Tier 4,41.885969593056934,123.96437461561449,206.7,0,0,0,1,0,1521.3882245324594,1.711276632,0.0013962887633868178,5.2085681818181815,329.5921,302.5291,27.06299999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
本溪市,Benxi,210500,辽宁省,Liaoning,Tier 5,41.492916460552905,123.69250712420832,167.36,0,0,0,0,1,1473.0159157029514,1.4547904559999998,0.001111008823048555,5.470536363636364,349.4628,304.2084,45.254400000000025,0,1,1,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
丹东市,Dandong,210600,辽宁省,Liaoning,Tier 4,40.00640870559368,124.3615472815908,238.0,0,0,0,1,0,1385.4774212153507,1.7387398439999997,0.0011538369533281448,5.638409090909091,343.6853,310.814,32.87129999999996,0,0,1,1,5,5,5,5,5,6,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
锦州市,Jinzhou,210700,辽宁省,Liaoning,Tier 4,41.10093149946208,121.1325963005552,293.4,0,0,0,1,0,1317.1026378288182,2.99999538,0.0022702102994875194,5.331868181818184,347.27170000000007,306.72580000000005,40.545900000000024,0,0,0,0,0,4,4,4,7,7,7,7,7,7,7,8,10,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
营口市,Yingkou,210800,辽宁省,Liaoning,Tier 4,40.67313683826707,122.24157466449694,243.1,0,0,0,1,0,1327.3127016536898,1.8768241080000003,0.001607844239798676,6.041895454545455,370.5048,348.9567,21.548099999999977,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
阜新市,Fuxin,210900,辽宁省,Liaoning,Tier 5,42.02802190131842,121.67640799865808,183.7,0,0,0,0,1,1428.9830355759373,1.3539985920000002,0.001249007311374042,5.3883636363636365,346.41940000000005,305.1171,41.30230000000006,0,0,0,0,0,0,0,0,1,2,3,5,7,7,7,7,7,7,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0
辽阳市,Liaoyang,211000,辽宁省,Liaoning,Tier 5,41.27416129045421,123.24336640651319,183.1,0,0,0,0,1,1430.8967263158054,1.2353112360000005,0.0016891318951627278,5.588727272727271,351.6003,324.9555000000001,26.644799999999968,0,0,0,0,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,0
盘锦市,Panjin,211100,辽宁省,Liaoning,Tier 4,41.12587528873715,122.0774900902138,144.0,0,0,0,1,0,1361.1062396716507,1.30712616,0.0014817947322638206,6.149822727272729,362.1096,330.30460000000005,31.804999999999946,0,0,1,2,2,2,3,3,7,7,8,8,8,8,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,0
铁岭市,Tieling,211200,辽宁省,Liaoning,Tier 5,42.22994799718447,123.73236520917769,289.0,0,0,0,0,1,1540.406487366622,2.02489146,0.0019073261282839605,5.2145318181818165,335.4112,308.2395,27.171700000000047,0,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,0
朝阳市,Chaoyang,211300,辽宁省,Liaoning,Tier 5,41.579820864755675,120.45749949793276,334.9,0,0,0,0,1,1337.386286403132,2.0357632800000003,0.001870495858385581,5.6665,361.174,345.42620000000005,15.747799999999984,1,2,2,2,2,3,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,0
葫芦岛市,Huludao,211400,辽宁省,Liaoning,Tier 4,40.71736443636189,120.8433983399283,275.8,0,0,0,1,0,1268.030635078531,3.389134608,0.0017752905845678075,5.561422727272726,355.2048999999999,312.7142,42.490699999999954,0,2,2,2,2,3,4,4,5,5,5,5,6,7,7,9,9,9,9,11,11,11,11,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,0
