city_cn,city,city_id,province_cn,province,tier,lat,lng,population,GDP,GDP_growth_2019,GDP_2020Q1,GDP_pc,GDP_growth_rate
海东市,Haidong,630200,青海省,Qinghai,Tier 5,36.5085110809413,102.1104440722824,149.32,487.73,7.0,,3.2663407447093493,
海北藏族自治州,Haibei,632200,青海省,Qinghai,Tier 5,36.96066282412982,100.907434321456,28.49,91.7,3.3,,3.218673218673219,
黄南藏族自治州,Huangnan,632300,青海省,Qinghai,Tier 5,35.525804586515534,102.02242827807585,28.0229,100.95,7.7,,3.6024108853830263,
海南藏族自治州,Hainan,632500,青海省,Qinghai,Tier 5,36.292102479898794,100.62662114445921,47.8,174.66,7.1,,3.6539748953974898,
果洛藏族自治州,Guoluo,632600,青海省,Qinghai,Tier 5,34.4771938664709,100.25159197879556,21.1588,46.1835,7.2,4.49,2.1827088492731157,0.38888347570019594
玉树藏族自治州,Yushu,632700,青海省,Qinghai,Tier 5,33.010979585142735,97.01318076277326,42.25,59.82,5.1,,1.4158579881656805,
海西蒙古族藏族自治州,Haixi,632800,青海省,Qinghai,Tier 5,37.382750462527454,97.37629911601906,52.07,666.11,7.5,128.6,12.792586902246976,0.7722448244283977
银川市,Yinchuan,640100,宁夏回族自治区,Ningxia,Tier 3,38.4924600555096,106.23849358740016,229.31,1901.48,6.3,415.18,8.29218089049758,0.8733828386309611
石嘴山市,Shizuishan,640200,宁夏回族自治区,Ningxia,Tier 5,38.98968283991508,106.39060042550491,80.59,605.92,7.0,118.56,7.51855068867105,0.7826775811988382
吴忠市,Wuzhong,640300,宁夏回族自治区,Ningxia,Tier 5,38.00371291345338,106.20537126663626,142.25,580.2,7.1,122.73,4.078734622144113,0.8461220268872802
固原市,Guyuan,640400,宁夏回族自治区,Ningxia,Tier 5,36.02161725801098,106.24857742607188,125.05,322.66,6.5,67.31,2.5802479008396646,0.834438728072894
中卫市,Zhongwei,640500,宁夏回族自治区,Ningxia,Tier 5,37.505701418702934,105.20357090088713,117.46,437.65,6.0,84.34,3.7259492593223227,0.7708442819604707
乌鲁木齐市,Urumqi,650100,新疆维吾尔自治区,Xinjiang,Tier 3,43.83076320429048,87.62443993536046,355.2,3413.26,6.5,852.43,9.609403153153155,0.9989628683428744
克拉玛依市,Karamay,650200,新疆维吾尔自治区,Xinjiang,Tier 5,45.58567523781376,84.89590053887504,46.2347,972.9,6.1,232.46,21.042636807419537,0.9557405694315964
吐鲁番市,Turpan,650400,新疆维吾尔自治区,Xinjiang,Tier 5,42.956984848771235,89.1972972460079,63.34,384.5,5.9,85.0,6.070413640669403,0.8842652795838751
哈密市,Hami,650500,新疆维吾尔自治区,Xinjiang,Tier 5,42.82582436811265,93.52121554028506,55.76,604.82,6.4,142.49,10.84684361549498,0.9423630170959955
昌吉回族自治州,Changji,652300,新疆维吾尔自治区,Xinjiang,Tier 5,44.016854159919866,87.3150016244744,160.39,1324.74,6.1,270.75,8.259492487062785,0.8175189093708954
